County,Year,Tax_type,Amount
Carlow,2022,Corporation Tax,33.55
Carlow,2022,Capital Gains Tax,7.19
Carlow,2022,Income Taxes,173.45000000000002
Carlow,2022,Total,300.72
Cavan,2022,VAT,115.04
Cavan,2022,Corporation Tax,77.63
Cavan,2022,Capital Gains Tax,7.47
Cavan,2022,Income Taxes,226.51
Cavan,2022,Total,426.65
Clare,2022,VAT,168.66
Clare,2022,Corporation Tax,136.84
Clare,2022,Capital Gains Tax,15.83
Clare,2022,Income Taxes,430.79
Clare,2022,Total,752.12
Cork,2022,VAT,1818.53
Cork,2022,Corporation Tax,8467.08
Cork,2022,Capital Gains Tax,184.82
Cork,2022,Income Taxes,2601.32
Cork,2022,Total,13071.75
Donegal,2022,VAT,151.96
Donegal,2022,Corporation Tax,78.69
Donegal,2022,Capital Gains Tax,13.88
Donegal,2022,Income Taxes,251.08
Donegal,2022,Total,495.61
Dublin,2022,VAT,9895.73
Dublin,2022,Corporation Tax,11525.39
Dublin,2022,Capital Gains Tax,792.11
Dublin,2022,Income Taxes,15006.86
Dublin,2022,Total,37220.09
Galway,2022,VAT,376.52
Galway,2022,Corporation Tax,267.17
Galway,2022,Capital Gains Tax,74.62
Galway,2022,Income Taxes,1166.8
Galway,2022,Total,1885.11
Kerry,2022,VAT,176.6
Kerry,2022,Corporation Tax,70.09
Kerry,2022,Capital Gains Tax,41.06
Kerry,2022,Income Taxes,823.3599999999999
Kerry,2022,Total,1111.11
Kildare,2022,VAT,487.01
Kildare,2022,Corporation Tax,168.72
Kildare,2022,Capital Gains Tax,65.43
Kildare,2022,Income Taxes,1054.21
Kildare,2022,Total,1775.3700000000001
Kilkenny,2022,VAT,127.72
Kilkenny,2022,Corporation Tax,65.33
Kilkenny,2022,Capital Gains Tax,17.77
Kilkenny,2022,Income Taxes,411.97999999999996
Kilkenny,2022,Total,622.8
Laois,2022,VAT,99.83
Laois,2022,Corporation Tax,27.3
Laois,2022,Capital Gains Tax,10.06
Laois,2022,Income Taxes,119.69999999999999
Laois,2022,Total,256.89
Leitrim,2022,VAT,21.17
Leitrim,2022,Corporation Tax,12.44
Leitrim,2022,Capital Gains Tax,4.64
Leitrim,2022,Income Taxes,201
Leitrim,2022,Total,239.25
Limerick,2022,VAT,360.65
Limerick,2022,Corporation Tax,404.3
Limerick,2022,Capital Gains Tax,74.21
Limerick,2022,Income Taxes,869.73
Limerick,2022,Total,1708.89
Longford,2022,VAT,41.08
Longford,2022,Corporation Tax,18.91
Longford,2022,Capital Gains Tax,9.33
Longford,2022,Income Taxes,90.29
Longford,2022,Total,159.61
Louth,2022,VAT,237.05
Louth,2022,Corporation Tax,115.17
Louth,2022,Capital Gains Tax,25.4
Louth,2022,Income Taxes,360.89
Louth,2022,Total,738.51
Mayo,2022,VAT,158.65
Mayo,2022,Corporation Tax,136.57
Mayo,2022,Capital Gains Tax,25.07
