County,Year,Tax_type,Amount
Westmeath,2015,Capital Gains Tax,12.93
Westmeath,2015,Income Taxes,829.06
Westmeath,2015,Total,941.65
Wexford,2015,VAT,123.34
Wexford,2015,Corporation Tax,46.04
Wexford,2015,Capital Gains Tax,7.77
Wexford,2015,Income Taxes,194.95
Wexford,2015,Total,372.09999999999997
Wicklow,2015,VAT,157.68
Wicklow,2015,Corporation Tax,195.22
Wicklow,2015,Capital Gains Tax,41.83
Wicklow,2015,Income Taxes,264.39
Wicklow,2015,Total,659.12
Carlow,2014,VAT,46.71
Carlow,2014,Corporation Tax,6.93
Carlow,2014,Capital Gains Tax,1.4
Carlow,2014,Income Taxes,99.69
Carlow,2014,Total,154.73
Cavan,2014,VAT,63.29
Cavan,2014,Corporation Tax,11.92
Cavan,2014,Capital Gains Tax,1.41
Cavan,2014,Income Taxes,121.87
Cavan,2014,Total,198.49
Clare,2014,VAT,86.5
Clare,2014,Corporation Tax,80.61
Clare,2014,Capital Gains Tax,5.09
Clare,2014,Income Taxes,264.24
Clare,2014,Total,436.44
Cork,2014,VAT,872.24
Cork,2014,Corporation Tax,764.52
Cork,2014,Capital Gains Tax,32.22
Cork,2014,Income Taxes,1407.75
Cork,2014,Total,3076.73
Donegal,2014,VAT,87.72
Donegal,2014,Corporation Tax,21.71
Donegal,2014,Capital Gains Tax,7.63
Donegal,2014,Income Taxes,148.86
Donegal,2014,Total,265.92
Dublin,2014,VAT,5796.08
Dublin,2014,Corporation Tax,3006.13
Dublin,2014,Capital Gains Tax,242.51
Dublin,2014,Income Taxes,8043.28
Dublin,2014,Total,17088
Galway,2014,VAT,226.13
Galway,2014,Corporation Tax,80.44
Galway,2014,Capital Gains Tax,40.12
Galway,2014,Income Taxes,658.37
Galway,2014,Total,1005.06
Kerry,2014,VAT,109.27
Kerry,2014,Corporation Tax,17.28
Kerry,2014,Capital Gains Tax,22.88
Kerry,2014,Income Taxes,523.44
Kerry,2014,Total,672.87
Kildare,2014,VAT,344.98
Kildare,2014,Corporation Tax,81.44
Kildare,2014,Capital Gains Tax,12.32
Kildare,2014,Income Taxes,499.70000000000005
Kildare,2014,Total,938.44
Kilkenny,2014,VAT,70.3
Kilkenny,2014,Corporation Tax,15.46
Kilkenny,2014,Capital Gains Tax,3.89
Kilkenny,2014,Income Taxes,230.51
Kilkenny,2014,Total,320.15999999999997
Laois,2014,VAT,47.6
Laois,2014,Corporation Tax,3.99
Laois,2014,Capital Gains Tax,3.67
Laois,2014,Income Taxes,59.53
Laois,2014,Total,114.79
Leitrim,2014,VAT,14.69
Leitrim,2014,Corporation Tax,3.88
Leitrim,2014,Capital Gains Tax,0.4
Leitrim,2014,Income Taxes,111.8
Leitrim,2014,Total,130.77
Limerick,2014,VAT,185.47
Limerick,2014,Corporation Tax,69.15
Limerick,2014,Capital Gains Tax,33.82
Limerick,2014,Income Taxes,474.22
Limerick,2014,Total,762.6600000000001
Longford,2014,VAT,19.81
Longford,2014,Corporation Tax,2.6
Longford,2014,Capital Gains Tax,0.86
Longford,2014,Income Taxes,42.81
Longford,2014,Total,66.08
Louth,2014,VAT,144.38
Louth,2014,Corporation Tax,21.72
Louth,2014,Capital Gains Tax,7.13
Louth,2014,Income Taxes,202.65
Louth,2014,Total,375.88
Mayo,2014,VAT,111.87
Mayo,2014,Corporation Tax,50.85
Mayo,2014,Capital Gains Tax,4.14
Mayo,2014,Income Taxes,181.67
Mayo,2014,Total,348.53
Meath,2014,VAT,182.34
Meath,2014,Corporation Tax,66.53
Meath,2014,Capital Gains Tax,11.66
Meath,2014,Income Taxes,342.61
Meath,2014,Total,603.14
Monaghan,2014,VAT,51.26
Monaghan,2014,Corporation Tax,17.51
Monaghan,2014,Capital Gains Tax,1.65
Monaghan,2014,Income Taxes,76.63
Monaghan,2014,Total,147.04999999999998
Offaly,2014,VAT,60.1
Offaly,2014,Corporation Tax,12.06
Offaly,2014,Capital Gains Tax,4.4
Offaly,2014,Income Taxes,239.65
Offaly,2014,Total,316.21000000000004
Other / Foreign,2014,VAT,519.35
Other / Foreign,2014,Corporation Tax,50.88
Other / Foreign,2014,Capital Gains Tax,51.99
Other / Foreign,2014,Income Taxes,210.19
Other / Foreign,2014,Total,832.4100000000001
Roscommon,2014,VAT,46.59
Roscommon,2014,Corporation Tax,4.35
Roscommon,2014,Capital Gains Tax,2.89
Roscommon,2014,Income Taxes,54.43000000000001
Roscommon,2014,Total,108.26
Sligo,2014,VAT,37.81
Sligo,2014,Corporation Tax,18.45
Sligo,2014,Capital Gains Tax,2.27
Sligo,2014,Income Taxes,102.89
Sligo,2014,Total,161.42000000000002
Tipperary,2014,VAT,135.43
Tipperary,2014,Corporation Tax,28.56
Tipperary,2014,Capital Gains Tax,7.92
Tipperary,2014,Income Taxes,202.27
Tipperary,2014,Total,374.18
Waterford,2014,VAT,86.04
Waterford,2014,Corporation Tax,14.43
Waterford,2014,Capital Gains Tax,5.78
Waterford,2014,Income Taxes,211.26
Waterford,2014,Total,317.51
Westmeath,2014,VAT,65.93
Westmeath,2014,Corporation Tax,21.02
Westmeath,2014,Capital Gains Tax,5.94
Westmeath,2014,Income Taxes,813.1
Westmeath,2014,Total,905.99
Wexford,2014,VAT,110.79
Wexford,2014,Corporation Tax,32.15
Wexford,2014,Capital Gains Tax,6.5
Wexford,2014,Income Taxes,181.8
Wexford,2014,Total,331.24
Wicklow,2014,VAT,156.33
Wicklow,2014,Corporation Tax,112.43
Wicklow,2014,Capital Gains Tax,18.5
Wicklow,2014,Income Taxes,254.76
Wicklow,2014,Total,542.02
Carlow,2013,VAT,44.62
Carlow,2013,Corporation Tax,5.44
Carlow,2013,Capital Gains Tax,2.05
Carlow,2013,Income Taxes,90.82000000000001
Carlow,2013,Total,142.93
Cavan,2013,VAT,61.92
Cavan,2013,Corporation Tax,8.8
Cavan,2013,Capital Gains Tax,1.98
Cavan,2013,Income Taxes,121.86999999999999
Cavan,2013,Total,194.57
Clare,2013,VAT,76.15
Clare,2013,Corporation Tax,83.28
Clare,2013,Capital Gains Tax,3.89
Clare,2013,Income Taxes,232.67
Clare,2013,Total,395.99
Cork,2013,VAT,835.24
Cork,2013,Corporation Tax,694.19
Cork,2013,Capital Gains Tax,31.17
Cork,2013,Income Taxes,1281.12
Cork,2013,Total,2841.72
Donegal,2013,VAT,86.06
Donegal,2013,Corporation Tax,17.66
Donegal,2013,Capital Gains Tax,6.46
Donegal,2013,Income Taxes,127.53
Donegal,2013,Total,237.71
Dublin,2013,VAT,5403.07
Dublin,2013,Corporation Tax,2735.63
Dublin,2013,Capital Gains Tax,147.67
Dublin,2013,Income Taxes,7322.02
Dublin,2013,Total,15608.39
Galway,2013,VAT,211.99
Galway,2013,Corporation Tax,72.49
Galway,2013,Capital Gains Tax,21.99
Galway,2013,Income Taxes,612.29
Galway,2013,Total,918.76
Kerry,2013,VAT,104.46
Kerry,2013,Corporation Tax,24.65
Kerry,2013,Capital Gains Tax,30.41
Kerry,2013,Income Taxes,495.79
Kerry,2013,Total,655.3100000000001
Kildare,2013,VAT,304.31
Kildare,2013,Corporation Tax,74.23
Kildare,2013,Capital Gains Tax,15.71
Kildare,2013,Income Taxes,418.22
Kildare,2013,Total,812.47
Kilkenny,2013,VAT,68.71
Kilkenny,2013,Corporation Tax,21.08
Kilkenny,2013,Capital Gains Tax,3.98
Kilkenny,2013,Income Taxes,223.17
Kilkenny,2013,Total,316.94
Laois,2013,VAT,46.87
Laois,2013,Corporation Tax,4.02
Laois,2013,Capital Gains Tax,3.07
Laois,2013,Income Taxes,51.730000000000004
Laois,2013,Total,105.69
Leitrim,2013,VAT,14.83
Leitrim,2013,Corporation Tax,2.89
Leitrim,2013,Capital Gains Tax,0.64
Leitrim,2013,Income Taxes,107.66000000000001
Leitrim,2013,Total,126.02000000000001
Limerick,2013,VAT,186.88
Limerick,2013,Corporation Tax,95.83
Limerick,2013,Capital Gains Tax,11.67
Limerick,2013,Income Taxes,439.09999999999997
Limerick,2013,Total,733.4799999999999
Longford,2013,VAT,18.75
Longford,2013,Corporation Tax,3.73
Longford,2013,Capital Gains Tax,0.88
Longford,2013,Income Taxes,42
Longford,2013,Total,65.36
Louth,2013,VAT,138.62
Louth,2013,Corporation Tax,20.03
Louth,2013,Capital Gains Tax,4.71
Louth,2013,Income Taxes,192.18
Louth,2013,Total,355.54
Mayo,2013,VAT,107.01
Mayo,2013,Corporation Tax,51.39
Mayo,2013,Capital Gains Tax,2.88
Mayo,2013,Income Taxes,161.70999999999998
Mayo,2013,Total,322.99
Meath,2013,VAT,164.8
Meath,2013,Corporation Tax,56.49
Meath,2013,Capital Gains Tax,9.14
Meath,2013,Income Taxes,324.73
Meath,2013,Total,555.1600000000001
Monaghan,2013,VAT,47.76
Monaghan,2013,Corporation Tax,12.62
Monaghan,2013,Capital Gains Tax,1
Monaghan,2013,Income Taxes,66.04
Monaghan,2013,Total,127.42
Offaly,2013,VAT,48.53
Offaly,2013,Corporation Tax,6.53
Offaly,2013,Capital Gains Tax,8.87
Offaly,2013,Income Taxes,232.1
Offaly,2013,Total,296.03
Other / Foreign,2013,VAT,487.58
Other / Foreign,2013,Corporation Tax,54.22
Other / Foreign,2013,Capital Gains Tax,13.71
Other / Foreign,2013,Income Taxes,193.53
Other / Foreign,2013,Total,749.04
Roscommon,2013,VAT,37.93
Roscommon,2013,Corporation Tax,4.04
Roscommon,2013,Capital Gains Tax,3.6
Roscommon,2013,Income Taxes,47.07
Roscommon,2013,Total,92.64
Sligo,2013,VAT,36.99
Sligo,2013,Corporation Tax,46.95
Sligo,2013,Capital Gains Tax,1.42
Sligo,2013,Income Taxes,115.11
Sligo,2013,Total,200.47
Tipperary,2013,VAT,127.99
Tipperary,2013,Corporation Tax,32.23
Tipperary,2013,Capital Gains Tax,7.57
Tipperary,2013,Income Taxes,182.76999999999998
Tipperary,2013,Total,350.55999999999995
Waterford,2013,VAT,76.63
Waterford,2013,Corporation Tax,26.1
Waterford,2013,Capital Gains Tax,5.65
Waterford,2013,Income Taxes,205.51
Waterford,2013,Total,313.89
Westmeath,2013,VAT,60.73
Westmeath,2013,Corporation Tax,14.78
Westmeath,2013,Capital Gains Tax,4.7
Westmeath,2013,Income Taxes,796.66
Westmeath,2013,Total,876.87
Wexford,2013,VAT,100.98
Wexford,2013,Corporation Tax,30.56
Wexford,2013,Capital Gains Tax,6.45
Wexford,2013,Income Taxes,158.10999999999999
Wexford,2013,Total,296.09999999999997
Wicklow,2013,VAT,151.6
Wicklow,2013,Corporation Tax,70.14
Wicklow,2013,Capital Gains Tax,15.75
Wicklow,2013,Income Taxes,235.45000000000002
Wicklow,2013,Total,472.94
Carlow,2012,VAT,43.67
Carlow,2012,Corporation Tax,5.68
Carlow,2012,Capital Gains Tax,2.48
Carlow,2012,Income Taxes,87.65
Carlow,2012,Total,139.48000000000002
Cavan,2012,VAT,61.05
Cavan,2012,Corporation Tax,12.96
Cavan,2012,Capital Gains Tax,7.41
Cavan,2012,Income Taxes,116.13
Cavan,2012,Total,197.54999999999998
Clare,2012,VAT,76.4
Clare,2012,Corporation Tax,107.03
Clare,2012,Capital Gains Tax,5.21
Clare,2012,Income Taxes,222.38
Clare,2012,Total,411.02
Cork,2012,VAT,770.73
Cork,2012,Corporation Tax,664.9
Cork,2012,Capital Gains Tax,31.43
Cork,2012,Income Taxes,1202.6200000000001
Cork,2012,Total,2669.6800000000003
Donegal,2012,VAT,85.38
Donegal,2012,Corporation Tax,17.24
Donegal,2012,Capital Gains Tax,5.82
Donegal,2012,Income Taxes,122.46000000000001
Donegal,2012,Total,230.9
Dublin,2012,VAT,5250.8
Dublin,2012,Corporation Tax,2656.49
Dublin,2012,Capital Gains Tax,177.16
Dublin,2012,Income Taxes,6984.2
Dublin,2012,Total,15068.65
Galway,2012,VAT,201.97
Galway,2012,Corporation Tax,72.34
Galway,2012,Capital Gains Tax,50.86
Galway,2012,Income Taxes,583.57
Galway,2012,Total,908.74
Kerry,2012,VAT,102.66
Kerry,2012,Corporation Tax,28.97
Kerry,2012,Capital Gains Tax,26.58
Kerry,2012,Income Taxes,480.17
Kerry,2012,Total,638.38
Kildare,2012,VAT,279.13
Kildare,2012,Corporation Tax,62.86
Kildare,2012,Capital Gains Tax,13.62
Kildare,2012,Income Taxes,394.27
Kildare,2012,Total,749.88
Kilkenny,2012,VAT,66.48
Kilkenny,2012,Corporation Tax,14.83
Kilkenny,2012,Capital Gains Tax,5.53
Kilkenny,2012,Income Taxes,215.55
Kilkenny,2012,Total,302.39000000000004
Laois,2012,VAT,44.2
Laois,2012,Corporation Tax,3.93
Laois,2012,Capital Gains Tax,2.55
Laois,2012,Income Taxes,49.48
Laois,2012,Total,100.16
Leitrim,2012,VAT,14.13
Leitrim,2012,Corporation Tax,3.3
Leitrim,2012,Capital Gains Tax,1.07
Leitrim,2012,Income Taxes,108.67
Leitrim,2012,Total,127.17
Limerick,2012,VAT,166.48
Limerick,2012,Corporation Tax,134.63
Limerick,2012,Capital Gains Tax,9.06
Limerick,2012,Income Taxes,416.54999999999995
Limerick,2012,Total,726.7199999999999
Longford,2012,VAT,17.61
Longford,2012,Corporation Tax,5.04
Longford,2012,Capital Gains Tax,0.69
Longford,2012,Income Taxes,39.26
Longford,2012,Total,62.599999999999994
Louth,2012,VAT,138.81
Louth,2012,Corporation Tax,17.92
Louth,2012,Capital Gains Tax,4.57
Louth,2012,Income Taxes,190.59
Louth,2012,Total,351.89
Mayo,2012,VAT,105.28
Mayo,2012,Corporation Tax,40.81
Mayo,2012,Capital Gains Tax,3.87
Mayo,2012,Income Taxes,151.41
Mayo,2012,Total,301.37
Meath,2012,VAT,153.83
Meath,2012,Corporation Tax,44.75
Meath,2012,Capital Gains Tax,14.37
Meath,2012,Income Taxes,298.34000000000003
Meath,2012,Total,511.29
Monaghan,2012,VAT,45.02
Monaghan,2012,Corporation Tax,9.56
Monaghan,2012,Capital Gains Tax,2.67
Monaghan,2012,Income Taxes,60.17
Monaghan,2012,Total,117.42
Offaly,2012,VAT,43
Offaly,2012,Corporation Tax,8.51
Offaly,2012,Capital Gains Tax,2.35
Offaly,2012,Income Taxes,216.3
Offaly,2012,Total,270.16
Other / Foreign,2012,VAT,455.01
Other / Foreign,2012,Corporation Tax,48.23
Other / Foreign,2012,Capital Gains Tax,5.14
Other / Foreign,2012,Income Taxes,180.66000000000003
Other / Foreign,2012,Total,689.04
Roscommon,2012,VAT,36.58
Roscommon,2012,Corporation Tax,3.38
Roscommon,2012,Capital Gains Tax,1.81
Roscommon,2012,Income Taxes,46.940000000000005
Roscommon,2012,Total,88.71000000000001
Sligo,2012,VAT,35.78
Sligo,2012,Corporation Tax,64.81
Sligo,2012,Capital Gains Tax,2
Sligo,2012,Income Taxes,109.66
Sligo,2012,Total,212.25
Tipperary,2012,VAT,121.54
Tipperary,2012,Corporation Tax,28.91
Tipperary,2012,Capital Gains Tax,6.99
Tipperary,2012,Income Taxes,172.26999999999998
Tipperary,2012,Total,329.71
Waterford,2012,VAT,79.16
Waterford,2012,Corporation Tax,45.23
Waterford,2012,Capital Gains Tax,5.85
Waterford,2012,Income Taxes,197.82999999999998
Waterford,2012,Total,328.07
Westmeath,2012,VAT,58.71
Westmeath,2012,Corporation Tax,19.96
Westmeath,2012,Capital Gains Tax,5.85
Westmeath,2012,Income Taxes,754.76
Westmeath,2012,Total,839.28
Wexford,2012,VAT,96.12
Wexford,2012,Corporation Tax,29.51
Wexford,2012,Capital Gains Tax,6.93
Wexford,2012,Income Taxes,147.18
Wexford,2012,Total,279.74
Wicklow,2012,VAT,145.51
Wicklow,2012,Corporation Tax,62.72
Wicklow,2012,Capital Gains Tax,11.12
Wicklow,2012,Income Taxes,226.93
Wicklow,2012,Total,446.28
